Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,status,sumber,Keywords_kategori,Text_clean
93,2,"0,909799993","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",diam customer petinggi sicepat jadi silemot silambat kecewa pakai sicepat sicepat,negatif,twitter,Pelayanan lambat dan buruk,diam customer petinggi lambat lambat kecewa
94,1,"0,9146999717","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",halo siang nomer resi muter kemarin tanggung sicepat indonesia,negatif,twitter,"Pengiriman lambat, susah tracking resi",halo siang nomer resi muter kemarin tanggung
95,1,"0,8718000054","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",ramai hastag kuat netizen sicepat jadi silemot sicepat jadi silambat kecewa pakai sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",ramai hastag kuat netizen lambat lambat kecewa
96,1,"0,7228000164","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",diam sicepat jadi silemot silambat kecewa pakai sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",diam lambat lambat kecewa
97,0,"0,6599000096","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",tanggal jaksel jaksel yaallah sicepat silemot silambat kecewa,negatif,twitter,Pelayanan sangat buruk,tanggal jaksel jaksel yaallah lambat lambat kecewa
98,2,"0,8483999968","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",kecewa sicepat cancel kecewa pakai jadi silemot sicepat jadi silambat,negatif,twitter,Pelayanan lambat dan buruk,kecewa cancel kecewa lambat lambat
99,0,"0,611899972","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",cancel kecewa pakai jadi silemot sicepat jadi silambat,negatif,twitter,Pelayanan sangat buruk,cancel kecewa lambat lambat
100,2,"0,8709999919","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",banget situ maju sicepat,negatif,twitter,Pelayanan lambat dan buruk,situ maju
101,1,"0,8335000277","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",aneh mogok sepatu sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",aneh mogok sepatu
102,2,"0,9455000162","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat kargo sesuai estimasi mending nama ganti lambat jakarta bekas cepat,negatif,twitter,Pelayanan lambat dan buruk,kargo sesuai estimasi mending nama ganti lambat jakarta bekas cepat
103,1,"0,7249000072","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",parah gangerti usaha cust sobek kardus polymailer apasih cari photocard kpop gila karyawan,negatif,twitter,"Pengiriman lambat, susah tracking resi",parah gangerti usaha cust sobek kardus polymailer apasih cari photocard kpop gila karyawan
104,2,"0,9272999763","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat mending ganti nama silambat kayak siput fucek,negatif,twitter,Pelayanan lambat dan buruk,mending ganti nama lambat kayak siput fucek
105,2,"0,9473999739","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",serba salah tutup sicepat layan gratis ongkir evaluasi kerja jasa harap thread keluh,negatif,twitter,Pelayanan lambat dan buruk,serba salah tutup layan gratis ongkir evaluasi kerja jasa harap thread keluh
106,0,"0,9355999827","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",terima santai beban adalagi beli gerak tanggal agustus bingung komplain sicepat,negatif,twitter,Pelayanan sangat buruk,terima santai beban adalagi beli gerak tanggal agustus bingung komplain
107,2,"0,6269999743","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat keluh pokok cuci tangan larang keluh keren sicepat twitter sukses bikin emosi lama,negatif,twitter,Pelayanan lambat dan buruk,keluh pokok cuci tangan larang keluh keren sukses bikin emosi
108,2,"0,4650000036","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",komplain kali kayak malas serah beli urus jual kayak enak sicepat,negatif,twitter,Pelayanan lambat dan buruk,komplain kayak malas serah beli urus jual kayak enak
109,2,"0,9269000292","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",doang ngalamin selip kayak sicepat ampun robot plis,negatif,twitter,Pelayanan lambat dan buruk,doang ngalamin selip kayak ampun robot plis
110,1,"0,9309999943","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",pilih terimindate sampa gerai suka jadi info terimindate kecewa situ surat sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",pilih terimindate sampa gerai suka info terimindate kecewa situ surat
111,0,"0,9509000182","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",perkara ribu perkara jujur harga asli hargain ambil kemarin kemarin adek ambil asli ngapa respect sicepat,negatif,twitter,Pelayanan sangat buruk,perkara ribu perkara jujur harga asli hargain ambil kemarin kemarin adek ambil asli ngapa respect
112,1,"0,9269999862","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",privacy nonaktif drop malas tunggu suruh drop ribet ambil seller sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",privacy nonaktif drop malas tunggu suruh drop ribet ambil seller
113,1,"0,6984000206","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat sicepat silama aneh gerak njir kota tuju tanggap,negatif,twitter,"Pengiriman lambat, susah tracking resi",silama aneh gerak kota tuju tanggap
114,2,"0,9287999868","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",layan tolong tingkat stuck gera kali nama cepat sicepat,negatif,twitter,Pelayanan lambat dan buruk,layan tolong tingkat stuck gera nama cepat
115,2,"0,9462000132","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",becus kerja sicepat jntexpress pilih hilang lambat becus kerja malu jasper,negatif,twitter,Pelayanan lambat dan buruk,becus kerja resi pilih hilang lambat becus kerja malu jasper
116,0,"0,5487999916","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",saking cepat sicepat andai cancel,negatif,twitter,Pelayanan sangat buruk,saking cepat andai cancel
117,1,"0,4749000072","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat ngaret mahal sueee sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",ngaret mahal sue
118,1,"0,9082000256","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",habis pikir hilang alas vendor vendor sicepat sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",habis pikir hilang alas vendor vendor
119,1,"0,8632000089","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",hilang selip sicepat main nafkah orang jual butuh makan sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",hilang selip main nafkah orang jual butuh makan
120,1,"0,9233999848","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",auto typing terima nama doang sicepat drop kota sicepat sicepat gajelas,negatif,twitter,"Pengiriman lambat, susah tracking resi",auto typing terima nama doang drop kota
121,0,"0,470299989","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",sicepat niat mahal bensin updated status sesuai fakta rusak reputasi seller ekpedisi tokopedia,negatif,twitter,Pelayanan sangat buruk,niat mahal bensin updated status sesuai fakta rusak reputasi seller ekpedisi
122,1,"0,8335000277","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",slogan koar doang cepat akurat telat ganti lelet paket nyangkut sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",slogan koar doang cepat akurat telat ganti lelet paket nyangkut
123,0,"0,7771000266","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",ngeselin sicepat cepat cepat,negatif,twitter,Pelayanan sangat buruk,mengesalkan cepat cepat
124,2,"0,9207000136","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",jabodetabek habis event lebaran sicepat cepat jabodetabek minggu,negatif,twitter,Pelayanan lambat dan buruk,jabodetabek habis event lebaran cepat jabodetabek minggu
125,2,"0,7761999965","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat cepat,negatif,twitter,Pelayanan lambat dan buruk,cepat
126,2,"0,7822999954","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",kemarin malam camat malam rabu kamis siang update staff malas kayak curiga jelang kapok,negatif,twitter,Pelayanan lambat dan buruk,kemarin malam camat malam rabu kamis siang update staff malas kayak curiga jelang kapok
127,2,"0,7764000297","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",cepat sicepat,negatif,twitter,Pelayanan lambat dan buruk,cepat
128,1,"0,8740000129","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",banding check telat banding sicepat kapok,negatif,twitter,"Pengiriman lambat, susah tracking resi",banding check telat banding kapok
129,2,"0,513199985","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",nama doang sicepat ampun tolong kasih rating biar seller kena rating,negatif,twitter,Pelayanan lambat dan buruk,nama doang ampun tolong kasih rating biar seller kena rating
130,2,"0,9075000286","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",boikot biar gulung tikar sicepat buruk,negatif,twitter,Pelayanan lambat dan buruk,boikot biar gulung tikar buruk
131,2,"0,7935000062","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",tanggal beda line haul darat plin plan dichat balas template asli sicepat,negatif,twitter,Pelayanan lambat dan buruk,tanggal beda line haul darat plin plan dichat balas template asli
132,2,"0,6348999739","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat sicepat molor pecah penyok kardus telat,negatif,twitter,Pelayanan lambat dan buruk,molor pecah penyok kardus telat
133,2,"0,8378000259","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",cepat lambat sicepat,negatif,twitter,Pelayanan lambat dan buruk,cepat lambat
134,1,"0,6182000041","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",ganti ganti bawa malas bawa pajet kali tumben sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",ganti ganti bawa malas bawa pajet tumben
135,2,"0,9101999998","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",jarak nama doang cepat lambat,negatif,twitter,Pelayanan lambat dan buruk,jarak nama doang cepat lambat
137,1,"0,7789000273","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",suruh follow bangsat spam seller drop gerai sicepat niat kerja sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",suruh follow spam seller drop gerai niat kerja
138,1,"0,9343000054","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",kabar sicepat akuin cepat pasca lebaran provinsi overload sepi sicepat overload efek phk sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",kabar akuin cepat pasca lebaran provinsi overload sepi overload efek phk
139,1,"0,9000999928","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",seragam doang merah kalender hitam sicepat lembur,negatif,twitter,"Pengiriman lambat, susah tracking resi",seragam doang merah kalender hitam lembur
140,1,"0,4938000143","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat cepat weey alami tracking resi lambat sicepat pelan jalan tracking,negatif,twitter,"Pengiriman lambat, susah tracking resi",cepat weey alami tracking resi lambat pelan jalan tracking
141,1,"0,488499999","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat sicepat tapi lambat kecewa cargo janji,negatif,twitter,"Pengiriman lambat, susah tracking resi",lambat kecewa cargo janji
142,2,"0,7846999764","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",beli tokopedia request kamis parah banget kali jasa error alas recommended komplain sicepat,negatif,twitter,Pelayanan lambat dan buruk,beli request kamis parah jasa error alas recommended komplain
143,1,"0,8116000295","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sibuk iklan complainan orang jibun complain april kelar lebaran parah layan sicepat turun banget sicepat paket hilang sicepat lambat,negatif,twitter,"Pengiriman lambat, susah tracking resi",sibuk iklan complainan orang jibun complain april kelar lebaran parah layan turun paket hilang lambat
144,2,"0,912800014","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",ngadat lancar nyesel ragu sicepat lancar,negatif,twitter,Pelayanan lambat dan buruk,ngadat lancar menyesal ragu lancar
145,1,"0,8687000275","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",lambat jual amuk jingan sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",lambat jual amuk jingan
146,2,"0,9307000041","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",kecewa kali kunjung status ubah rozi sicepat sicepat trending,negatif,twitter,Pelayanan lambat dan buruk,kecewa kunjung status ubah rozi trending
147,0,"0,5224999785","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",ubah sicepat halu sesuai estimasi banget kecewa,negatif,twitter,Pelayanan sangat buruk,ubah halu sesuai estimasi kecewa
148,2,"0,894200027","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",cape banget sicepat alias silambat,negatif,twitter,Pelayanan lambat dan buruk,cape alias lambat
149,0,"0,912800014","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",heran dipastiin sengaja usaha jebol kardus kuku sicepat,negatif,twitter,Pelayanan sangat buruk,heran dipastiin sengaja usaha jebol kardus kuku
150,0,"0,5145999789","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",nama doang cepat jakarta sragen sicepat silambat,negatif,twitter,Pelayanan sangat buruk,nama doang cepat jakarta sragen lambat
151,0,"0,9577000141","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",stuck kota tanggal april ambil kargo langsung suruh nunggu urus bganter rumah biar ambil gudang kargo lambat sicepat,negatif,twitter,Pelayanan sangat buruk,stuck kota tanggal april ambil kargo langsung suruh nunggu urus bganter rumah biar ambil gudang kargo lambat
152,2,"0,9110000134","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",laki refund dilaporin hilang sicepat silelet,negatif,twitter,Pelayanan lambat dan buruk,laki refund dilaporin hilang lambat
153,1,"0,8894000053","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",balas chat sicepat balas chat jalan lambat,negatif,twitter,"Pengiriman lambat, susah tracking resi",balas chat balas chat jalan lambat
154,1,"0,7290999889","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat tumben,negatif,twitter,"Pengiriman lambat, susah tracking resi",tumben
155,2,"0,8375999928","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",tanggal jalan jasa titip situ sicepat sigokil probolinggo sortation silelet,negatif,twitter,Pelayanan lambat dan buruk,tanggal jalan jasa titip situ sigokil probolinggo sortation lambat
156,2,"0,9427000284","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",nyangkut sicepat nyata hilang kapok blacklist banget online shop sicepat,negatif,twitter,Pelayanan lambat dan buruk,nyangkut nyata hilang kapok blacklist online shop
157,2,"0,9301000237","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",lambat banget ngestuck sortation gera hayoloo komplain sicepat,negatif,twitter,Pelayanan lambat dan buruk,lambat ngestuck sortation gera hayoloo komplain
158,1,"0,8761000037","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat thread bantu retweet please kasihan orang shopee april niat biar anjir,negatif,twitter,"Pengiriman lambat, susah tracking resi",thread bantu retweet please kasihan orang april niat biar
159,1,"0,8813999891","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",info sicepat asuransi model sicepat tipu,negatif,twitter,"Pengiriman lambat, susah tracking resi",info asuransi model tipu
160,1,"0,543299973","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",telat respon pagi respon lacak kapok sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",telat respon pagi respon lacak kapok
161,1,"0,6622999907","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",maksud status serah status surabaya awas bobol sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",maksud status serah status surabaya awas bobol
162,2,"0,8630999923","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",jaksel gila sicepat cepat,negatif,twitter,Pelayanan lambat dan buruk,jaksel gila cepat
163,0,"0,5755000114","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",musuh umat puasa setan iblis bikin tingkat sabar turun telat nyasar telp usaha cepat kaya sinetron indosiar sicepat,negatif,twitter,Pelayanan sangat buruk,musuh umat puasa setan iblis bikin tingkat sabar turun telat nyasar telp usaha cepat sinetron indosiar
164,1,"0,7817999721","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",ganti lambat silambat sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",ganti lambat lambat
165,1,"0,5792000294","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",respon tanggung sicepat anteraja,negatif,twitter,"Pengiriman lambat, susah tracking resi",respon tanggung
166,0,"0,695900023","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",mending trucking kapok sicepat,negatif,twitter,Pelayanan sangat buruk,mending tracking kapok
167,0,"0,9140999913","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",hadeh tanggung profesional kali beli uang daun sicepat,negatif,twitter,Pelayanan sangat buruk,hadeh tanggung profesional beli uang daun
168,2,"0,8917000294","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",thread viral massal sicepat sicepat,negatif,twitter,Pelayanan lambat dan buruk,thread viral massal
169,2,"0,9175999761","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",manajemen sicepat salah prosedur massal sicepat nasional,negatif,twitter,Pelayanan lambat dan buruk,manajemen salah prosedur massal nasional
170,1,"0,5521000028","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",bareng sicepat tanggal maret drop point sicepat daerah tutup minggu daerah tutup sicepat kurir sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",bareng tanggal maret drop point daerah tutup minggu daerah tutup kurir
171,1,"0,9423999786","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",bubar berkah anjir usaha maling ngerespon bikin thread diviralin what problematik sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",bubar berkah usaha maling ngerespon bikin thread diviralin what problematik
172,2,"0,9430999756","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",putus hubung kerja alas undur kerja kerja phk masal sicepat,negatif,twitter,Pelayanan lambat dan buruk,putus hubung kerja alas undur kerja kerja phk masal
173,1,"0,568599999","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",malam ngendon gudang input data sibuk scan dasar urut sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",malam ngendon gudang input data sibuk scan dasar urut
174,0,"0,5792999864","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",kesini responnya cepat nama seller rugi buruk layan sicepat,negatif,twitter,Pelayanan sangat buruk,kesini responnya cepat nama seller rugi buruk layan
175,1,"0,8658999801","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat makan kasih celah dikit perut kosong,negatif,twitter,"Pengiriman lambat, susah tracking resi",makan kasih celah dikit perut kosong
176,1,"0,8673999906","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",lapor kemarin komplain janji lambat tunggu status balik gerai kacau sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",lapor kemarin komplain janji lambat tunggu status gerai kacau
177,1,"0,7365999818","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",barusan marah sicepat gagal sibuk alas gudang rumah gagal sicepat nggal cepat sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",barusan marah gagal sibuk alas gudang rumah gagal nggal cepat
178,1,"0,6941999793","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat tipu masak estimasi,negatif,twitter,"Pengiriman lambat, susah tracking resi",tipu masak estimasi
179,1,"0,9071000218","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat harga juta majalah dirusakin ganti komplen lempar,negatif,twitter,"Pengiriman lambat, susah tracking resi",harga juta majalah dirusakin ganti komplen lempar
180,2,"0,9440000057","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",cancel lelet ngirimnya tolong hapus sicepat pilih checkout tokopedia sicepat driver bandung,negatif,twitter,Pelayanan lambat dan buruk,cancel lelet ngirimnya tolong hapus pilih checkout driver bandung
181,2,"0,4999000132","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat nyasar banget,negatif,twitter,Pelayanan lambat dan buruk,nyasar
182,1,"0,6779999733","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat mending ganti nama sihalu,negatif,twitter,"Pengiriman lambat, susah tracking resi",mending ganti nama halu
183,1,"0,9118999839","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",spill biar ngerusak orang ganti alasan customer tarik ganti tarik ganti sesuai bukti komplain rusak sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",spill biar ngerusak orang ganti alasan customer tarik ganti tarik ganti sesuai bukti komplain rusak
184,1,"0,8948000073","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",narik kasih jamin ganti gimana sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",narik kasih jamin ganti
185,2,"0,5361999869","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",ampun retur jual surabaya status sicepat kargo,negatif,twitter,Pelayanan lambat dan buruk,ampun retur jual surabaya status kargo
186,2,"0,9361000061","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",nganter langsung buka bagasi buset buru keburu napas sicepat,negatif,twitter,Pelayanan lambat dan buruk,nganter langsung buka bagasi buset buru keburu napas
187,2,"0,9007999897","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",layan banget orang tunggu sabar sicepat,negatif,twitter,Pelayanan lambat dan buruk,layan orang tunggu sabar
188,1,"0,9488000274","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",hoax patner percaya komplain platform hours delivery sungguh naif diam sorting poin seller buyer komplain sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",hoax patner percaya komplain platform hours delivery sungguh naif diam sorting poin seller buyer komplain
189,2,"0,9532999992","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",tolong rekomendasi banned keluh sicepat diam sorting jaksel hilang langgan gara gara rekomendasi,negatif,twitter,Pelayanan lambat dan buruk,tolong rekomendasi banned keluh diam sorting jaksel hilang langgan gara gara rekomendasi
190,1,"0,6510000229","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",stuck update sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",stuck update
191,0,"0,9013000131","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",telp bilang kasih baca tracking keluar sicepat,negatif,twitter,Pelayanan sangat buruk,telp bilang kasih baca tracking
192,2,"0,9107000232","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",tahap gedeg stuck status gerak sicepat,negatif,twitter,Pelayanan lambat dan buruk,tahap gedeg stuck status gerak
193,1,"0,6837999821","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",tolol arah bambu larang malam lamban sopir tolol,negatif,twitter,"Pengiriman lambat, susah tracking resi",tolol arah bambu larang malam lamban sopir tolol
195,0,"0,513100028","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",blokir line phone hubung phone sicepat ekpedisi parah,negatif,twitter,Pelayanan sangat buruk,blokir line phone hubung phone ekpedisi parah
196,2,"0,7845000029","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat lambat,negatif,twitter,Pelayanan lambat dan buruk,lambat
197,2,"0,9514999986","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sicepat hilang komplain proses lambat oper pelan hilang kabar buruk kurir kecewa,negatif,twitter,Pelayanan lambat dan buruk,hilang komplain proses lambat oper pelan hilang kabar buruk kurir kecewa
198,2,"0,950600028","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",halah kerja lelet sicepat nama situ nipu orang pendem gudang gerak silelet,negatif,twitter,Pelayanan lambat dan buruk,halah kerja lelet nama situ nipu orang pendem gudang gerak lambat
199,0,"0,8622000217","parah, buruk, layan, jasa, terima, banget, tolong, tanggal, bayar, mending",cape telpon suruh nunggu ambil gerai sicepat,negatif,twitter,Pelayanan sangat buruk,cape telpon suruh nunggu ambil gerai
200,2,"0,9376000166","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",astaga kagak gerak sicepat event minggu sengaja pindah lelet,negatif,twitter,Pelayanan lambat dan buruk,astaga kagak gerak event minggu sengaja pindah lelet
201,2,"0,9059000015","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",sesuai nama ganti silambat silambat sicepat,negatif,twitter,Pelayanan lambat dan buruk,sesuai nama ganti lambat lambat
202,2,"0,9617000222","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",kecewa layan buruk bawa sore henti kerja customer service komplain janji doang hasil kapok jasa sicepat,negatif,twitter,Pelayanan lambat dan buruk,kecewa layan buruk bawa sore henti kerja customer service komplain janji doang hasil kapok jasa
203,1,"0,9549000263","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",modus tipu tema sicepat hahaha tiati netijen note klik buka fole apk sicepat modus penipuan,negatif,twitter,"Pengiriman lambat, susah tracking resi",modus tipu tema hahaha tiati netijen note klik buka fole aplikasi modus penipuan
204,2,"0,9527000189","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",anjiiir sicepat estimasi regular putar indonesia minggu enak belanja pilih jasa,negatif,twitter,Pelayanan lambat dan buruk,estimasi regular putar minggu enak belanja pilih jasa
205,2,"0,5328000188","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",suruh nunggu maksimal estimasi capek nunggu capek hati rugi sicepat komplain keluh konsumen,negatif,twitter,Pelayanan lambat dan buruk,suruh nunggu maksimal estimasi capek nunggu capek hati rugi komplain keluh konsumen
206,1,"0,855799973","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat kesini lambat sicepat,negatif,twitter,"Pengiriman lambat, susah tracking resi",kesini lambat
207,1,"0,8547999859","lambat, ongkir, tolong, resi, update, edisi, masuk, eror, susah, kecewa",sicepat criss cross alamat kirim muter,negatif,twitter,"Pengiriman lambat, susah tracking resi",criss cross alamat kirim muter
208,2,"0,9516999722","kecewa, banget, jasa, lambat, layan, alamat, minggu, lelet, buruk, kali",konsumen protes layan sicepat tokopedia media konsumen kecewa konsumen layan baca lengkap,negatif,twitter,Pelayanan lambat dan buruk,konsumen protes layan media konsumen kecewa konsumen layan baca lengkap
